"DateTime","AUD/JPY (open)","AUD/JPY (high)","AUD/JPY (low)","AUD/JPY (close)","Navigator"
"2015-02-05 00:00:00",,,,,91.003
"2015-02-06 00:00:00",,,,,91.668
"2015-02-09 00:00:00",,,,,92.333
"2015-02-10 00:00:00",,,,,92.442
"2015-02-11 00:00:00",,,,,92.907
"2015-02-12 00:00:00",,,,,92.819
"2015-02-13 00:00:00",,,,,92.225
"2015-02-16 00:00:00",,,,,92.114
"2015-02-17 00:00:00",,,,,91.908
"2015-02-18 00:00:00",,,,,93.113
"2015-02-19 00:00:00",,,,,92.691
"2015-02-20 00:00:00",,,,,92.763
"2015-02-23 00:00:00",,,,,93.412
"2015-02-24 00:00:00",,,,,92.737
"2015-02-25 00:00:00",,,,,93.092
"2015-02-26 00:00:00",,,,,93.665
"2015-02-27 00:00:00",,,,,93.162
"2015-03-02 00:00:00",,,,,93.288
"2015-03-03 00:00:00",,,,,93.233
"2015-03-04 00:00:00",,,,,93.536
"2015-03-05 00:00:00",,,,,93.592
"2015-03-06 00:00:00",,,,,93.459
"2015-03-09 00:00:00",,,,,93.227
"2015-03-10 00:00:00",,,,,93.321
"2015-03-11 00:00:00",,,,,92.493
"2015-03-12 00:00:00",,,,,92.313
"2015-03-13 00:00:00",,,,,93.508
"2015-03-16 00:00:00",,,,,92.382
"2015-03-17 00:00:00",,,,,92.766
"2015-03-18 00:00:00",,,,,92.431
"2015-03-19 00:00:00",,,,,93.397
"2015-03-20 00:00:00",,,,,92.491
"2015-03-23 00:00:00",,,,,93.409
"2015-03-24 00:00:00",,,,,94.291
"2015-03-25 00:00:00",,,,,94.182
"2015-03-26 00:00:00",,,,,93.58
"2015-03-27 00:00:00",,,,,93.35
"2015-03-30 00:00:00",,,,,92.232
"2015-03-31 00:00:00",,,,,91.904
"2015-04-01 00:00:00",,,,,91.367
"2015-04-02 00:00:00",,,,,90.936
"2015-04-03 00:00:00",,,,,90.73
"2015-04-06 00:00:00",,,,,90.804
"2015-04-07 00:00:00",,,,,90.684
"2015-04-08 00:00:00",,,,,91.889
"2015-04-09 00:00:00",,,,,92.277
"2015-04-10 00:00:00",,,,,92.867
"2015-04-13 00:00:00",,,,,92.126
"2015-04-14 00:00:00",,,,,91.059
"2015-04-15 00:00:00",,,,,90.955
"2015-04-16 00:00:00",,,,,91.449
"2015-04-17 00:00:00",,,,,92.7
"2015-04-20 00:00:00",,,,,92.756
"2015-04-21 00:00:00",,,,,92.038
"2015-04-22 00:00:00",,,,,92.291
"2015-04-23 00:00:00",,,,,92.91
"2015-04-24 00:00:00",,,,,92.97
"2015-04-27 00:00:00",,,,,93.112
"2015-04-28 00:00:00",,,,,93.702
"2015-04-29 00:00:00",,,,,95.024
"2015-04-30 00:00:00",,,,,95.108
"2015-05-01 00:00:00",,,,,94.344
"2015-05-04 00:00:00",,,,,94.031
"2015-05-05 00:00:00",,,,,94.15
"2015-05-06 00:00:00",,,,,95.105
"2015-05-07 00:00:00",,,,,94.965
"2015-05-08 00:00:00",,,,,94.575
"2015-05-11 00:00:00",,,,,94.944
"2015-05-12 00:00:00",,,,,94.865
"2015-05-13 00:00:00",,,,,95.761
"2015-05-14 00:00:00",,,,,96.671
"2015-05-15 00:00:00",,,,,96.371
"2015-05-18 00:00:00",,,,,96.002
"2015-05-19 00:00:00",,,,,95.858
"2015-05-20 00:00:00",,,,,95.584
"2015-05-21 00:00:00",,,,,95.487
"2015-05-22 00:00:00",,,,,95.61
"2015-05-25 00:00:00",,,,,94.964
"2015-05-26 00:00:00",,,,,95.164
"2015-05-27 00:00:00",,,,,95.256
"2015-05-28 00:00:00",,,,,95.713
"2015-05-29 00:00:00",,,,,94.797
"2015-06-01 00:00:00",,,,,94.944
"2015-06-02 00:00:00",,,,,95.081
"2015-06-03 00:00:00",,,,,96.269
"2015-06-04 00:00:00",,,,,96.6
"2015-06-05 00:00:00",,,,,95.618
"2015-06-08 00:00:00",,,,,95.683
"2015-06-09 00:00:00",,,,,95.775
"2015-06-10 00:00:00",,,,,95.59
"2015-06-11 00:00:00",,,,,94.969
"2015-06-12 00:00:00",,,,,95.76
"2015-06-15 00:00:00",,,,,95.297
"2015-06-16 00:00:00",,,,,95.749
"2015-06-17 00:00:00",,,,,95.621
"2015-06-18 00:00:00",,,,,95.407
"2015-06-19 00:00:00",,,,,95.824
"2015-06-22 00:00:00",,,,,95.344
"2015-06-23 00:00:00",,,,,95.39
"2015-06-24 00:00:00",,,,,95.919
"2015-06-25 00:00:00",,,,,95.454
"2015-06-26 00:00:00",,,,,95.562
"2015-06-29 00:00:00",,,,,93.4
"2015-06-30 00:00:00",,,,,94.112
"2015-07-01 00:00:00",,,,,94.177
"2015-07-02 00:00:00",,,,,94.195
"2015-07-03 00:00:00",,,,,93.977
"2015-07-06 00:00:00",,,,,91.642
"2015-07-07 00:00:00",,,,,91.697
"2015-07-08 00:00:00",,,,,91.347
"2015-07-09 00:00:00",,,,,89.711
"2015-07-10 00:00:00",,,,,90.79
"2015-07-13 00:00:00",,,,,90.905
"2015-07-14 00:00:00",,,,,91.368
"2015-07-15 00:00:00",,,,,91.84
"2015-07-16 00:00:00",,,,,91.333
"2015-07-17 00:00:00",,,,,92.056
"2015-07-20 00:00:00",,,,,91.469
"2015-07-21 00:00:00",,,,,91.661
"2015-07-22 00:00:00",,,,,91.957
"2015-07-23 00:00:00",,,,,91.485
"2015-07-24 00:00:00",,,,,91.149
"2015-07-27 00:00:00",,,,,90.03
"2015-07-28 00:00:00",,,,,89.692
"2015-07-29 00:00:00",,,,,90.81
"2015-07-30 00:00:00",,,,,90.438
"2015-07-31 00:00:00",,,,,90.524
"2015-08-03 00:00:00",,,,,90.501
"2015-08-04 00:00:00",,,,,90.171
"2015-08-05 00:00:00",,,,,91.665
"2015-08-06 00:00:00",,,,,91.706
"2015-08-07 00:00:00",,,,,91.623
"2015-08-10 00:00:00",,,,,91.979
"2015-08-11 00:00:00",,,,,92.388
"2015-08-12 00:00:00",,,,,91.497
"2015-08-13 00:00:00",,,,,91.751
"2015-08-14 00:00:00",,,,,91.742
"2015-08-17 00:00:00",,,,,91.635
"2015-08-18 00:00:00",,,,,91.737
"2015-08-19 00:00:00",,,,,91.298
"2015-08-20 00:00:00",,,,,91.147
"2015-08-21 00:00:00",,,,,90.539
"2015-08-24 00:00:00",,,,,88.3
"2015-08-25 00:00:00",,,,,85.308
"2015-08-26 00:00:00",,,,,84.198
"2015-08-27 00:00:00",,,,,85.484
"2015-08-28 00:00:00",,,,,86.843
"2015-08-31 00:00:00",,,,,86.593
"2015-09-01 00:00:00",,,,,86.11
"2015-09-02 00:00:00",,,,,83.931
"2015-09-03 00:00:00",,,,,84.983
"2015-09-04 00:00:00",,,,,84.328
"2015-09-07 00:00:00",,,,,82.638
"2015-09-08 00:00:00",,,,,82.969
"2015-09-09 00:00:00",,,,,84.502
"2015-09-10 00:00:00",,,,,83.697
"2015-09-11 00:00:00",,,,,85.352
"2015-09-14 00:00:00",,,,,85.749
"2015-09-15 00:00:00",,,,,86.197
"2015-09-16 00:00:00",,,,,85.805
"2015-09-17 00:00:00",86.781,87.515,85.853,86.317,86.781
"2015-09-18 00:00:00",86.316,86.868,85.797,86.235,86.316
"2015-09-21 00:00:00",86.278,86.382,85.719,85.885,86.278
"2015-09-22 00:00:00",85.885,86.12,84.636,84.959,85.885
"2015-09-23 00:00:00",84.96,85.21,84.007,84.13,84.96
"2015-09-24 00:00:00",84.13,84.55,82.999,84.305,84.13
"2015-09-25 00:00:00",84.305,85.006,83.939,84.715,84.305
"2015-09-28 00:00:00",84.499,84.736,83.523,83.529,84.499
"2015-09-29 00:00:00",83.528,84.305,82.826,83.993,83.528
"2015-09-30 00:00:00",83.996,84.671,83.808,84.028,83.996
"2015-10-01 00:00:00",84.022,85.056,83.915,84.343,84.022
"2015-10-02 00:00:00",84.341,84.677,83.273,84.486,84.341
"2015-10-05 00:00:00",84.583,85.523,84.516,85.356,84.583
"2015-10-06 00:00:00",85.357,86.256,85.148,86.082,85.357
"2015-10-07 00:00:00",86.082,86.894,85.95,86.29,86.082
"2015-10-08 00:00:00",86.288,87.198,85.811,87.154,86.288
"2015-10-09 00:00:00",87.15,88.335,87.046,88.287,87.15
"2015-10-12 00:00:00",87.895,88.615,87.772,88.154,87.895
"2015-10-13 00:00:00",88.154,88.204,86.206,86.476,88.154
"2015-10-14 00:00:00",86.477,87.091,86.088,87.017,86.477
"2015-10-15 00:00:00",87.017,87.507,86.298,87.24,87.017
"2015-10-16 00:00:00",87.234,87.246,86.344,86.762,87.234
"2015-10-19 00:00:00",86.607,87.208,86.278,86.745,86.607
"2015-10-20 00:00:00",86.745,87.355,86.602,87.058,86.745
"2015-10-21 00:00:00",87.058,87.303,86.368,86.456,87.058
"2015-10-22 00:00:00",86.456,87.275,85.998,87.177,86.456
"2015-10-23 00:00:00",87.181,88.107,87.111,87.66,87.181
"2015-10-26 00:00:00",87.612,87.996,87.504,87.681,87.612
"2015-10-27 00:00:00",87.68,87.695,86.485,86.674,87.68
"2015-10-28 00:00:00",86.674,86.709,85.626,85.764,86.674
"2015-10-29 00:00:00",85.765,85.995,85.521,85.806,85.765
"2015-10-30 00:00:00",85.805,86.283,85.433,86.091,85.805
"2015-11-02 00:00:00",85.962,86.534,85.857,86.457,85.962
"2015-11-03 00:00:00",86.457,87.188,85.973,87.044,86.457
"2015-11-04 00:00:00",87.045,87.584,86.615,86.712,87.045
"2015-11-05 00:00:00",86.717,87.314,86.658,86.963,86.717
"2015-11-06 00:00:00",86.965,87.378,86.512,86.85,86.965
"2015-11-09 00:00:00",86.701,87.274,86.63,86.759,86.701
"2015-11-10 00:00:00",86.761,87.096,86.468,86.697,86.761
"2015-11-11 00:00:00",86.695,86.995,86.624,86.766,86.695
"2015-11-12 00:00:00",86.766,87.956,86.754,87.453,86.766
"2015-11-13 00:00:00",87.453,87.684,87.192,87.413,87.453
"2015-11-16 00:00:00",86.928,87.618,86.883,87.434,86.928
"2015-11-17 00:00:00",87.432,88.022,87.251,87.794,87.432
"2015-11-18 00:00:00",87.793,88.008,87.395,87.901,87.793
"2015-11-19 00:00:00",87.906,88.518,87.865,88.37,87.906
"2015-11-20 00:00:00",88.37,89.016,88.296,88.923,88.37
"2015-11-23 00:00:00",88.816,88.856,88.237,88.353,88.816
"2015-11-24 00:00:00",88.353,89.119,88.04,88.868,88.353
"2015-11-25 00:00:00",88.867,89.103,88.804,88.987,88.867
"2015-11-26 00:00:00",88.988,89.089,88.38,88.699,88.988
"2015-11-27 00:00:00",88.516,88.733,88.112,88.351,88.516
"2015-11-30 00:00:00",88.239,89.42,88.05,89.1,88.239
"2015-12-01 00:00:00",89.099,90.11,89.056,90.004,89.099
"2015-12-02 00:00:00",90.005,90.489,89.811,89.988,90.005
"2015-12-03 00:00:00",89.988,90.583,89.703,89.895,89.988
"2015-12-04 00:00:00",89.897,90.728,89.611,90.392,89.897
"2015-12-07 00:00:00",90.407,90.481,89.459,89.459,90.407
"2015-12-08 00:00:00",89.458,89.65,88.269,88.791,89.458
"2015-12-09 00:00:00",88.791,88.993,87.311,88.004,88.791
"2015-12-10 00:00:00",88.019,89.138,87.951,88.495,88.019
"2015-12-11 00:00:00",88.495,88.628,86.8,86.879,88.495
"2015-12-14 00:00:00",86.608,87.86,86.513,87.856,86.608
"2015-12-15 00:00:00",87.856,88.134,87.149,87.605,87.856
"2015-12-16 00:00:00",87.605,88.596,87.446,88.224,87.605
"2015-12-17 00:00:00",88.221,88.3,87.117,87.291,88.221
"2015-12-18 00:00:00",87.291,87.994,86.219,87.068,87.291
"2015-12-21 00:00:00",86.958,87.248,86.65,87.215,86.958
"2015-12-22 00:00:00",87.216,87.728,87.133,87.51,87.216
"2015-12-23 00:00:00",87.507,87.666,87.153,87.47,87.507
"2015-12-24 00:00:00",87.47,87.661,87.357,87.497,87.47
"2015-12-28 00:00:00",87.564,87.617,87.224,87.312,87.564
"2015-12-29 00:00:00",87.313,87.923,87.269,87.85,87.313
"2015-12-30 00:00:00",87.85,87.981,87.613,87.725,87.85
"2015-12-31 00:00:00",87.725,88.213,87.44,87.625,87.725
"2016-01-04 00:00:00",87.646,87.718,85.339,85.825,87.646
"2016-01-05 00:00:00",85.823,86.35,84.892,85.285,85.823
"2016-01-06 00:00:00",85.284,85.407,83.556,83.971,85.284
"2016-01-07 00:00:00",83.972,84.129,81.995,82.413,83.972
"2016-01-08 00:00:00",82.425,83.867,81.794,81.962,82.425
"2016-01-11 00:00:00",81.219,83.023,81.176,82.219,81.219
"2016-01-12 00:00:00",82.218,82.779,81.389,82.296,82.218
"2016-01-13 00:00:00",82.296,83.401,81.382,81.439,82.296
"2016-01-14 00:00:00",81.44,82.804,81.172,82.712,81.44
"2016-01-15 00:00:00",82.711,82.722,79.571,80.242,82.711
"2016-01-18 00:00:00",80.237,81.265,80.138,80.499,80.237
"2016-01-19 00:00:00",80.692,82.161,80.194,81.252,80.692
"2016-01-20 00:00:00",81.251,81.344,79.221,81.341,81.251
"2016-01-21 00:00:00",81.347,82.743,80.092,82.733,81.347
"2016-01-22 00:00:00",82.733,83.531,82.132,83.272,82.733
"2016-01-25 00:00:00",82.991,83.495,82.002,82.037,82.991
"2016-01-26 00:00:00",82.037,83.267,81.482,82.927,82.037
"2016-01-27 00:00:00",82.925,84.22,82.709,83.068,82.925
"2016-01-28 00:00:00",83.056,84.804,83.013,84.233,83.056
"2016-01-29 00:00:00",84.234,86.367,84.066,85.71,84.234
"2016-02-01 00:00:00",85.779,86.219,85.297,85.897,85.779
"2016-02-02 00:00:00",85.899,86.163,84.086,84.204,85.899
"2016-02-03 00:00:00",84.205,84.774,83.2,84.571,84.205
"2016-02-04 00:00:00",84.572,85.06,83.914,84.122,84.572
"2016-02-05 00:00:00",84.121,84.121,84.121,84.121,84.121