,Ho_ten,10%,20%_1,20%_2,Thi
0,31_011,8.375,7.25,8.5,9.0
1,31_012,8.25,7.25,8.5,9.0
2,31_013,8.5,7.5,8.5,10.0
3,31_014,4.0,7.25,8.5,9.0
4,31_015,8.75,7.5,8.5,9.5
5,31_021,7.75,7.75,7.75,7.5
6,31_022,7.0,3.0,7.0,7.0
7,31_023,7.5,7.5,7.5,7.5
8,31_024,7.0,7.0,7.0,7.0
9,31_025,7.25,7.0,7.0,7.5
10,31_031,7.625,7.25,7.0,7.25
11,31_032,7.75,7.25,7.25,7.5
12,31_033,7.625,7.375,7.75,7.5
13,31_034,7.5,6.5,6.75,7.0
14,31_035,7.5,7.25,7.0,7.25
15,31_041,8.5,8.0,9.0,9.0
16,31_042,8.125,7.625,7.5,7.75
17,31_043,8.125,7.625,7.75,7.75
18,31_044,8.25,7.875,8.0,7.5
19,31_045,8.0,7.25,8.25,8.0
20,31_051,7.75,7.0,6.0,7.5
21,31_052,8.25,7.25,6.5,8.0
22,31_053,3.5,0.0,0.0,0.0
23,31_054,8.75,8.0,9.0,8.5
24,31_055,7.75,7.25,6.75,8.0
25,31_061,8.0,7.0,7.0,7.5
26,31_062,7.75,7.625,7.5,7.5
27,31_063,7.25,7.5,7.0,7.0
28,31_064,3.75,7.0,7.0,7.0
29,31_065,8.0,7.125,7.0,7.25
30,31_071,7.75,7.0,7.0,7.0
31,31_072,8.125,7.25,7.0,7.5
32,31_073,8.5,3.75,7.0,7.0
33,31_074,8.0,3.75,7.0,8.0
34,31_075,8.375,7.675,7.0,7.5
35,31_081,7.5,7.5,7.5,8.0
36,31_082,8.25,7.75,7.0,8.0
37,31_083,7.0,7.0,7.0,8.0
38,31_084,8.25,8.0,7.5,8.25
39,31_085,7.75,7.0,7.0,8.0
40,31_091,8.25,7.25,7.0,8.0
41,31_092,7.75,7.0,6.5,7.25
42,31_093,7.4,6.75,6.0,7.0
43,31_094,7.5,6.0,6.0,6.5
44,31_095,0.0,0.0,0.0,0.0
45,31_101,7.75,6.5,7.5,7.5
46,31_102,8.0,7.25,7.5,7.5
47,31_103,8.25,8.25,8.5,8.0
48,31_104,8.0,7.0,7.5,7.5
49,31_105,8.25,7.5,7.5,7.75
50,31_111,8.0,7.875,6.5,7.75
51,31_112,8.25,7.5,6.5,7.5
52,31_113,7.75,7.5,7.0,7.5
53,31_114,8.0,7.25,6.5,7.5
54,31_115,8.125,7.875,6.0,7.75
55,31_121,7.5,6.0,7.0,6.5
56,31_122,7.5,7.625,8.5,8.0
57,31_123,7.25,6.5,7.5,8.0
58,31_124,7.75,8.0,9.5,9.0
59,31_125,7.125,7.0,7.5,8.0
60,31_131,0.0,0.0,0.0,0.0
61,31_132,7.625,7.375,7.0,7.0
62,31_133,0.0,0.0,0.0,0.0
63,31_134,0.0,7.75,7.5,6.0
64,31_135,7.5,7.0,7.0,7.0
65,31_141,7.0,6.25,6.0,7.0
66,31_142,0.0,0.0,0.0,0.0
67,31_143,0.5,5.75,5.0,7.0
68,31_144,7.375,7.375,6.5,7.5
69,31_145,3.75,2.625,6.0,6.0
70,31_151,8.25,7.75,8.25,8.0
71,31_152,3.5,3.25,6.0,6.5
72,31_153,7.25,6.5,6.0,6.5
73,31_154,7.75,3.5,7.5,7.5
74,31_155,0.0,0.0,0.0,0.0
75,71_011,6.5,6.5,6.0,6.5
76,71_012,5.5,5.5,6.0,5.0
77,71_013,6.5,7.0,7.0,6.75
78,71_014,7.25,5.5,7.0,6.0
79,71_021,7.5,5.0,6.0,6.0
80,71_022,8.0,6.0,6.0,6.0
81,71_023,9.0,8.0,8.0,8.0
82,71_024,7.5,5.0,6.0,6.0
83,71_025,6.5,6.0,6.0,6.0
84,71_031,8.0,6.5,7.0,7.0
85,71_032,8.0,7.0,7.0,6.0
86,71_033,8.0,7.0,7.0,7.0
87,71_034,,,,
88,71_035,,,,
89,71_041,10.0,6.5,8.0,6.5
90,71_042,10.0,8.0,8.0,8.5
91,71_043,10.0,6.5,7.5,7.0
92,71_044,7.0,6.0,7.0,7.0
93,71_045,10.0,6.75,8.0,7.0
94,71_046,10.0,6.5,8.0,7.0
95,71_051,7.0,6.0,6.5,
96,71_052,7.12,6.25,7.0,6.5
97,71_053,7.75,6.25,7.25,6.25
98,71_054,7.35,6.0,7.0,6.0
99,71_055,7.5,5.5,6.5,6.0
100,71_056,7.12,5.75,6.5,6.25
101,71_061,10.0,6.0,6.5,6.5
102,71_062,10.0,6.5,6.5,6.5
103,71_063,7.0,5.0,6.5,6.0
104,71_064,10.0,6.0,6.5,6.5
105,71_065,10.0,6.5,6.5,6.5
106,71_071,9.0,6.25,7.0,7.0
107,71_072,8.0,6.0,6.5,6.5
108,71_073,9.0,7.25,7.5,7.5
109,71_074,8.0,6.75,6.5,6.5
110,71_075,8.0,6.5,6.0,6.0
111,71_081,8.0,6.0,5.5,5.0
112,71_082,7.5,6.5,6.25,5.5
113,71_083,8.5,5.75,6.5,5.0
114,71_084,8.0,6.0,6.5,5.0
115,71_085,7.0,6.0,6.0,5.0
116,71_091,7.0,7.0,6.0,5.0
117,71_092,7.25,6.75,6.5,5.0
118,71_093,7.0,6.5,6.0,5.0
119,71_094,5.5,5.0,5.0,5.0
120,71_095,6.0,6.5,6.0,5.0
121,71_101,9.0,7.0,6.5,6.0
122,71_102,9.0,7.0,6.0,6.0
123,71_103,7.0,6.5,6.0,6.0
124,71_104,9.0,7.0,6.5,6.0
125,71_105,9.0,7.0,6.0,6.0
126,71_111,8.0,6.75,7.0,7.0
127,71_112,8.0,6.75,8.0,7.0
128,71_113,8.0,6.5,7.5,7.0
129,71_114,8.25,5.0,8.0,7.0
130,71_115,7.75,6.5,7.0,7.0
131,71_121,9.0,7.5,7.0,7.0
132,71_122,8.0,6.5,6.5,6.5
133,71_123,8.0,7.0,7.0,7.0
134,71_124,8.0,7.0,7.0,7.0
135,71_125,8.0,7.0,7.0,7.0
136,71_131,7.5,7.5,8.0,8.0
137,71_132,8.0,7.0,8.0,8.0
138,71_133,8.5,8.25,8.0,8.0
139,71_134,8.5,7.0,6.5,6.5
140,71_135,8.5,7.5,7.5,7.5
141,71_141,7.0,7.0,7.5,7.0
142,71_142,7.0,7.25,7.0,7.0
143,71_143,7.0,3.25,7.25,7.25
144,71_144,7.0,7.5,8.0,7.5
145,71_145,7.0,7.25,7.25,7.0
146,71_146,7.0,6.75,7.5,6.5
147,71_151,7.5,7.0,8.0,9.0
148,71_152,7.0,6.5,6.5,6.5
149,71_153,7.0,7.0,7.5,7.5
150,71_154,7.0,7.0,7.0,
151,72_011,6.0,6.5,7.0,6.75
152,72_012,6.5,7.25,7.75,7.5
153,72_013,5.75,6.75,7.25,7.0
154,72_014,6.75,7.0,7.5,7.25
155,72_015,6.0,6.5,7.0,6.75
156,72_021,8.38,7.0,6.75,6.0
157,72_022,8.88,7.0,6.0,6.5
158,72_023,8.13,6.5,6.0,5.0
159,72_024,7.88,7.0,6.0,5.0
160,72_025,8.25,7.5,6.5,5.0
161,72_026,8.75,8.0,7.0,7.0
162,72_031,3.5,6.75,7.0,7.0
163,72_032,7.5,8.0,7.0,7.5
164,72_033,7.0,7.25,7.0,7.25
165,72_034,7.0,7.125,6.5,6.5
166,72_035,7.0,7.5,7.0,7.0
167,72_041,8.0,6.5,6.0,6.0
168,72_042,7.6,7.0,7.0,7.0
169,72_043,6.75,5.5,6.5,6.5
170,72_044,7.4,5.75,5.8,6.0
171,72_045,6.9,6.75,5.0,5.0
172,72_046,7.75,6.6,6.0,7.0
173,72_051,7.0,7.0,7.5,7.0
174,72_052,7.0,7.4,7.25,6.75
175,72_053,7.25,6.5,8.0,7.75
176,72_054,6.825,7.0,7.0,7.0
177,72_055,7.25,7.25,7.5,7.5
178,72_061,7.25,6.5,6.5,6.5
179,72_062,6.325,6.0,6.25,6.0
180,72_063,7.0,6.0,6.0,6.0
181,72_064,6.5,6.0,6.75,6.0
182,72_065,7.25,6.5,6.75,6.5
183,72_071,7.125,6.75,6.0,6.5
184,72_072,7.625,7.125,6.0,5.0
185,72_073,7.625,6.8,7.0,6.0
186,72_074,6.75,7.25,7.0,6.0
187,72_075,7.0,6.875,7.0,6.5
188,72_081,7.375,7.0,6.75,6.5
189,72_082,6.875,7.0,6.75,7.0
190,72_083,7.25,6.875,7.25,7.25
191,72_084,6.875,7.125,7.0,6.75
192,72_085,7.125,7.125,7.0,6.75
193,72_091,7.25,3.375,7.0,6.5
194,72_092,6.5,6.75,6.5,6.25
195,72_093,6.5,6.875,6.75,6.75
196,72_094,3.0,0.0,0.0,0.0
197,72_095,7.125,6.875,7.25,7.0
198,72_101,7.75,8.375,8.0,8.5
199,72_102,7.5,8.125,8.0,8.5
200,72_103,7.125,7.75,7.5,8.0
201,72_104,7.75,7.625,7.0,7.5
202,72_105,7.375,8.125,8.0,8.0
203,72_111,0.0,0.0,0.0,0.0
204,72_112,7.125,7.5,7.5,6.5
205,72_113,6.875,7.125,7.5,6.5
206,72_114,6.625,6.5,6.5,5.75
207,72_115,3.75,3.375,6.5,6.0
208,72_121,7.75,7.875,8.0,7.5
209,72_122,7.5,7.625,7.75,7.5
210,72_123,7.125,7.625,7.5,7.5
211,72_124,7.125,7.375,7.25,7.0
212,72_125,6.75,8.75,9.0,8.5
213,72_131,7.5,6.0,6.5,6.5
214,72_132,7.5,6.75,6.25,6.25
215,72_133,7.25,6.5,6.5,6.0
216,72_134,7.875,6.25,6.5,6.5
217,72_135,8.25,8.0,8.0,8.0
218,72_141,7.125,6.5,6.25,6.0
219,72_142,7.25,0.0,0.0,0.0
220,72_143,6.875,6.5,6.0,5.0
221,72_144,6.375,6.375,6.0,5.0
222,72_145,7.25,6.5,6.5,6.0
223,72_151,7.375,6.5,7.5,7.0
224,72_152,7.25,6.75,7.0,7.0
225,72_153,7.125,6.75,6.75,7.0
226,72_154,7.75,6.375,7.5,7.0
227,72_155,7.875,6.125,6.75,7.0
